station_id@MetaData,ops_obstype@MetaData,correctedStationAltitude@ObsAssignment
string,int,float
_,0,_
01134,0,0
01134,10100,383.0
01134,10200,0
02324,0,0
02324,10100,436.4
02324,10200,0
02418,0,0
02418,10100,107.0
02418,10200,0
04270,0,0
04270,10100,31.0
04270,10200,0
06239,0,0
06239,10100,52.0
06239,10200,0
06450,0,0
06450,10100,12.0
06450,10200,0
08521,0,0
08521,10100,58.0
08521,10200,0
08535,0,0
08535,10100,77.0
08535,10200,0
08545,0,0
08545,10100,69.0
08545,10200,0
16520,0,0
16520,10100,23.0
16520,10200,0
34357,0,0
34357,10100,128.4
34357,10200,0
40180,0,0
40180,10100,40.0
40180,10200,0
60710,0,0
60710,10100,67.6
60710,10200,0
65522,0,0
65522,10100,289.6
65522,10200,0
71203,0,0
71203,10100,430.0
71203,10200,0
72356,0,0
72356,10100,207.0
72356,10200,0
72683,0,0
72683,10100,1265.0
72683,10200,0
72698,0,0
72698,10100,7.0
72698,10200,0
78792,0,0
78792,10100,10.9
78792,10200,0
83827,0,0
83827,10100,246.0
83827,10200,0
96525,0,0
96525,10100,5.7
96525,10200,0
97072,0,0
97072,10100,86.5
97072,10200,0
97796,0,0
97796,10100,33.9
97796,10200,0
AABIR,0,0
AABIR,10800,95.0
AABIR,10801,0
AABRI,0,0
AABRI,10800,543.0
AABRI,10801,0
AACAR,0,0
AACAR,10800,90.0
AACAR,10801,0
AAERC,0,0
AAERC,10800,62.0
AAERC,10801,0
AAERI,0,0
AAERI,10800,945.0
AAERI,10801,0
AALAU,0,0
AALAU,10800,52.0
AALAU,10801,0
AAMIZ,0,0
AAMIZ,10800,2230.0
AAMIZ,10801,0
AAMUL,0,0
AAMUL,10800,430.0
AAMUL,10801,0
AAWIL,0,0
AAWIL,10800,25.0
AAWIL,10801,0
ARP01,0,0
ARP01,10800,31.0
ARP01,10801,0
ARP03,0,0
ARP03,10800,849.0
ARP03,10801,0
AUP04,0,0
AUP04,10800,67.0
AUP04,10801,0
AUP06,0,0
AUP06,10800,7.0
AUP06,10801,0
AUP08,0,0
AUP08,10800,5.0
AUP08,10801,0
AUP09,0,0
AUP09,10800,32.0
AUP09,10801,0
AUP10,0,0
AUP10,10800,31.0
AUP10,10801,0
BRP11,0,0
BRP11,10800,7.0
BRP11,10801,0
CAP15,0,0
CAP15,10800,12.0
CAP15,10801,0
CAP16,0,0
CAP16,10800,206.0
CAP16,10801,0
CAP17,0,0
CAP17,10800,133.0
CAP17,10801,0
CKP23,0,0
CKP23,10800,5.0
CKP23,10801,0
CLP18,0,0
CLP18,10800,33.0
CLP18,10801,0
CLP19,0,0
CLP19,10800,120.0
CLP19,10801,0
CMP13,0,0
CMP13,10800,128.0
CMP13,10801,0
DEP33,0,0
DEP33,10800,1280.0
DEP33,10801,0
FRP27,0,0
FRP27,10800,320.0
FRP27,10801,0
FRP28,0,0
FRP28,10800,9.0
FRP28,10801,0
FRP29,0,0
FRP29,10800,75.0
FRP29,10801,0
FRP30,0,0
FRP30,10800,36.0
FRP30,10801,0
GBP66,0,0
GBP66,10800,8.0
GBP66,10801,0
GBP67,0,0
GBP67,10800,438.0
GBP67,10801,0
GBP68,0,0
GBP68,10800,46.0
GBP68,10801,0
JPP37,0,0
JPP37,10800,126.0
JPP37,10801,0
JPP38,0,0
JPP38,10800,92.0
JPP38,10801,0
KIP39,0,0
KIP39,10800,18.0
KIP39,10801,0
KWP40,0,0
KWP40,10800,21.0
KWP40,10801,0
MNP45,0,0
MNP45,10800,1550.0
MNP45,10801,0
MRP43,0,0
MRP43,10800,10.0
MRP43,10801,0
NOP49,0,0
NOP49,10800,469.0
NOP49,10801,0
NZP46,0,0
NZP46,10800,22.0
NZP46,10801,0
NZP47,0,0
NZP47,10800,86.0
NZP47,10801,0
PAP50,0,0
PAP50,10800,90.0
PAP50,10801,0
PHP52,0,0
PHP52,10800,642.0
PHP52,10801,0
RUP54,0,0
RUP54,10800,127.0
RUP54,10801,0
RUP56,0,0
RUP56,10800,277.0
RUP56,10801,0
RUP59,0,0
RUP59,10800,235.0
RUP59,10801,0
SEP63,0,0
SEP63,10800,51.0
SEP63,10801,0
TZP64,0,0
TZP64,10800,104.0
TZP64,10801,0
USP70,0,0
USP70,10800,75.0
USP70,10801,0
USP71,0,0
USP71,10800,60.0
USP71,10801,0
USP72,0,0
USP72,10800,10.0
USP72,10801,0
USP73,0,0
USP73,10800,30.0
USP73,10801,0
USP74,0,0
USP74,10800,603.0
USP74,10801,0
USP75,0,0
USP75,10800,104.0
USP75,10801,0
USP76,0,0
USP76,10800,270.0
USP76,10801,0
USP77,0,0
USP77,10800,6.0
USP77,10801,0
USP79,0,0
USP79,10800,427.0
USP79,10801,0
USP80,0,0
USP80,10800,180.0
USP80,10801,0
01134,11600,383.0
01134,11601,0
02324,11600,436.4
02324,11601,0
02418,11600,107.0
02418,11601,0
04270,11600,31.0
04270,11601,0
06239,11600,52.0
06239,11601,0
06450,11600,12.0
06450,11601,0
08521,11600,58.0
08521,11601,0
08535,11600,77.0
08535,11601,0
08545,11600,69.0
08545,11601,0
16520,11600,23.0
16520,11601,0
34357,11600,128.4
34357,11601,0
40180,11600,40.0
40180,11601,0
60710,11600,67.6
60710,11601,0
65522,11600,289.6
65522,11601,0
71203,11600,430.0
71203,11601,0
72356,11600,207.0
72356,11601,0
72683,11600,1265.0
72683,11601,0
72698,11600,7.0
72698,11601,0
78792,11600,10.9
78792,11601,0
83827,11600,246.0
83827,11601,0
96525,11600,5.7
96525,11601,0
97072,11600,86.5
97072,11601,0
97796,11600,33.9
97796,11601,0
